,Category,Group,Pathway,Description
2958,09100 Metabolism,09106 Metabolism of other amino acids,00460 Cyanoamino acid metabolism [PATH:ath00460],AT5G16580 BGLU2; beta glucosidase 2	K01188 E3.2.1.21; beta-glucosidase [EC:3.2.1.21]
2959,09100 Metabolism,09106 Metabolism of other amino acids,00460 Cyanoamino acid metabolism [PATH:ath00460],AT1G60270 BGLU6; beta glucosidase 6	K01188 E3.2.1.21; beta-glucosidase [EC:3.2.1.21]
2960,09100 Metabolism,09106 Metabolism of other amino acids,00460 Cyanoamino acid metabolism [PATH:ath00460],AT3G62740 BGLU7; beta glucosidase 7	K01188 E3.2.1.21; beta-glucosidase [EC:3.2.1.21]
2961,09100 Metabolism,09106 Metabolism of other amino acids,00460 Cyanoamino acid metabolism [PATH:ath00460],AT4G27820 BGLU9; beta glucosidase 9	K01188 E3.2.1.21; beta-glucosidase [EC:3.2.1.21]
2962,09100 Metabolism,09106 Metabolism of other amino acids,00460 Cyanoamino acid metabolism [PATH:ath00460],AT1G60260 BGLU5; beta glucosidase 5	K01188 E3.2.1.21; beta-glucosidase [EC:3.2.1.21]
2963,09100 Metabolism,09106 Metabolism of other amino acids,00460 Cyanoamino acid metabolism [PATH:ath00460],AT3G47000 Glycosyl hydrolase family protein	K05349 bglX; beta-glucosidase [EC:3.2.1.21]
2964,09100 Metabolism,09106 Metabolism of other amino acids,00460 Cyanoamino acid metabolism [PATH:ath00460],AT5G20950 Glycosyl hydrolase family protein	K05349 bglX; beta-glucosidase [EC:3.2.1.21]
2965,09100 Metabolism,09106 Metabolism of other amino acids,00460 Cyanoamino acid metabolism [PATH:ath00460],AT5G20940 Glycosyl hydrolase family protein	K05349 bglX; beta-glucosidase [EC:3.2.1.21]
2966,09100 Metabolism,09106 Metabolism of other amino acids,00460 Cyanoamino acid metabolism [PATH:ath00460],AT3G47040 Glycosyl hydrolase family protein	K05349 bglX; beta-glucosidase [EC:3.2.1.21]
2967,09100 Metabolism,09106 Metabolism of other amino acids,00460 Cyanoamino acid metabolism [PATH:ath00460],AT5G04885 Glycosyl hydrolase family protein	K05349 bglX; beta-glucosidase [EC:3.2.1.21]
2968,09100 Metabolism,09106 Metabolism of other amino acids,00460 Cyanoamino acid metabolism [PATH:ath00460],AT3G47010 Glycosyl hydrolase family protein	K05349 bglX; beta-glucosidase [EC:3.2.1.21]
2969,09100 Metabolism,09106 Metabolism of other amino acids,00460 Cyanoamino acid metabolism [PATH:ath00460],AT3G18080 BGLU44; B-S glucosidase 44	K05350 bglB; beta-glucosidase [EC:3.2.1.21]
2970,09100 Metabolism,09106 Metabolism of other amino acids,00460 Cyanoamino acid metabolism [PATH:ath00460],AT1G61820 BGLU46; beta glucosidase 46	K05350 bglB; beta-glucosidase [EC:3.2.1.21]
2971,09100 Metabolism,09106 Metabolism of other amino acids,00460 Cyanoamino acid metabolism [PATH:ath00460],AT4G21760 BGLU47; beta-glucosidase 47	K05350 bglB; beta-glucosidase [EC:3.2.1.21]
2972,09100 Metabolism,09106 Metabolism of other amino acids,00460 Cyanoamino acid metabolism [PATH:ath00460],AT1G61810 BGLU45; beta-glucosidase 45	K05350 bglB; beta-glucosidase [EC:3.2.1.21]
2973,09100 Metabolism,09106 Metabolism of other amino acids,00460 Cyanoamino acid metabolism [PATH:ath00460],AT3G18070 BGLU43; beta glucosidase 43	K05350 bglB; beta-glucosidase [EC:3.2.1.21]
2974,09100 Metabolism,09106 Metabolism of other amino acids,00460 Cyanoamino acid metabolism [PATH:ath00460],AT5G05260 CYP79A2; phenylalanine N-monooxygenase-like protein	K12153 CYP79A2; phenylalanine N-monooxygenase [EC:1.14.14.40]
2975,09100 Metabolism,09106 Metabolism of other amino acids,00460 Cyanoamino acid metabolism [PATH:ath00460],AT1G73050 Glucose-methanol-choline (GMC) oxidoreductase family protein	K08248 MDL3; (R)-mandelonitrile lyase [EC:4.1.2.10]
2976,09100 Metabolism,09106 Metabolism of other amino acids,00460 Cyanoamino acid metabolism [PATH:ath00460],AT5G10300 MES5; methyl esterase 5	K20802 HNL; (R)-mandelonitrile lyase [EC:4.1.2.10]
2977,09100 Metabolism,09106 Metabolism of other amino acids,00460 Cyanoamino acid metabolism [PATH:ath00460],AT3G44320 NIT3; nitrilase 3	K01501 E3.5.5.1; nitrilase [EC:3.5.5.1]
2978,09100 Metabolism,09106 Metabolism of other amino acids,00460 Cyanoamino acid metabolism [PATH:ath00460],AT3G44300 NIT2; nitrilase 2	K01501 E3.5.5.1; nitrilase [EC:3.5.5.1]
2979,09100 Metabolism,09106 Metabolism of other amino acids,00460 Cyanoamino acid metabolism [PATH:ath00460],AT3G44310 NIT1; nitrilase 1	K01501 E3.5.5.1; nitrilase [EC:3.5.5.1]
2980,09100 Metabolism,09106 Metabolism of other amino acids,00460 Cyanoamino acid metabolism [PATH:ath00460],AT3G61440 CYSC1; cysteine synthase C1	K13034 ATCYSC1; L-3-cyanoalanine synthase/ cysteine synthase [EC:2.5.1.47 4.4.1.9]
2981,09100 Metabolism,09106 Metabolism of other amino acids,00460 Cyanoamino acid metabolism [PATH:ath00460],AT4G39640 GGT1; gamma-glutamyl transpeptidase 1	K18592 GGT1_5; gamma-glutamyltranspeptidase / glutathione hydrolase / leukotriene-C4 hydrolase [EC:2.3.2.2 3.4.19.13 3.4.19.14]
2982,09100 Metabolism,09106 Metabolism of other amino acids,00460 Cyanoamino acid metabolism [PATH:ath00460],AT4G39650 GGT2; gamma-glutamyl transpeptidase 2	K18592 GGT1_5; gamma-glutamyltranspeptidase / glutathione hydrolase / leukotriene-C4 hydrolase [EC:2.3.2.2 3.4.19.13 3.4.19.14]
2983,09100 Metabolism,09106 Metabolism of other amino acids,00460 Cyanoamino acid metabolism [PATH:ath00460],AT1G69820 GGT3; gamma-glutamyl transpeptidase 3	K18592 GGT1_5; gamma-glutamyltranspeptidase / glutathione hydrolase / leukotriene-C4 hydrolase [EC:2.3.2.2 3.4.19.13 3.4.19.14]
2984,09100 Metabolism,09106 Metabolism of other amino acids,00460 Cyanoamino acid metabolism [PATH:ath00460],AT4G29210 GGT4; gamma-glutamyl transpeptidase 4	K18592 GGT1_5; gamma-glutamyltranspeptidase / glutathione hydrolase / leukotriene-C4 hydrolase [EC:2.3.2.2 3.4.19.13 3.4.19.14]
2985,09100 Metabolism,09106 Metabolism of other amino acids,00460 Cyanoamino acid metabolism [PATH:ath00460],AT5G22300 NIT4; nitrilase 4	K13035 NIT4; beta-cyano-L-alanine hydratase/nitrilase [EC:3.5.5.4 4.2.1.65]
2986,09100 Metabolism,09106 Metabolism of other amino acids,00460 Cyanoamino acid metabolism [PATH:ath00460],AT5G08100 ASPGA1; N-terminal nucleophile aminohydrolases (Ntn hydrolases) superfamily protein	K13051 ASRGL1; L-asparaginase / beta-aspartyl-peptidase [EC:3.5.1.1 3.4.19.5]
2987,09100 Metabolism,09106 Metabolism of other amino acids,00460 Cyanoamino acid metabolism [PATH:ath00460],AT3G16150 ASPGB1; N-terminal nucleophile aminohydrolases (Ntn hydrolases) superfamily protein	K13051 ASRGL1; L-asparaginase / beta-aspartyl-peptidase [EC:3.5.1.1 3.4.19.5]
2988,09100 Metabolism,09106 Metabolism of other amino acids,00460 Cyanoamino acid metabolism [PATH:ath00460],AT4G13890 EDA36; Pyridoxal phosphate (PLP)-dependent transferases superfamily protein	K00600 glyA; glycine hydroxymethyltransferase [EC:2.1.2.1]
2989,09100 Metabolism,09106 Metabolism of other amino acids,00460 Cyanoamino acid metabolism [PATH:ath00460],AT4G13930 SHM4; serine hydroxymethyltransferase 4	K00600 glyA; glycine hydroxymethyltransferase [EC:2.1.2.1]
2990,09100 Metabolism,09106 Metabolism of other amino acids,00460 Cyanoamino acid metabolism [PATH:ath00460],AT1G22020 SHM6; serine hydroxymethyltransferase 6	K00600 glyA; glycine hydroxymethyltransferase [EC:2.1.2.1]
2991,09100 Metabolism,09106 Metabolism of other amino acids,00460 Cyanoamino acid metabolism [PATH:ath00460],AT4G32520 SHM3; serine hydroxymethyltransferase 3	K00600 glyA; glycine hydroxymethyltransferase [EC:2.1.2.1]
2992,09100 Metabolism,09106 Metabolism of other amino acids,00460 Cyanoamino acid metabolism [PATH:ath00460],AT4G37930 SHM1; serine transhydroxymethyltransferase 1	K00600 glyA; glycine hydroxymethyltransferase [EC:2.1.2.1]
2993,09100 Metabolism,09106 Metabolism of other amino acids,00460 Cyanoamino acid metabolism [PATH:ath00460],AT1G36370 SHM7; serine hydroxymethyltransferase 7	K00600 glyA; glycine hydroxymethyltransferase [EC:2.1.2.1]
2994,09100 Metabolism,09106 Metabolism of other amino acids,00460 Cyanoamino acid metabolism [PATH:ath00460],AT5G26780 SHM2; serine hydroxymethyltransferase 2	K00600 glyA; glycine hydroxymethyltransferase [EC:2.1.2.1]
2995,09100 Metabolism,09106 Metabolism of other amino acids,00460 Cyanoamino acid metabolism [PATH:ath00460],AT4G37550 Acetamidase/Formamidase family protein	K01455 E3.5.1.49; formamidase [EC:3.5.1.49]
2996,09100 Metabolism,09106 Metabolism of other amino acids,00460 Cyanoamino acid metabolism [PATH:ath00460],AT4G37560 Acetamidase/Formamidase family protein	K01455 E3.5.1.49; formamidase [EC:3.5.1.49]
2997,09100 Metabolism,09106 Metabolism of other amino acids,00471 D-Glutamine and D-glutamate metabolism,AT5G07440 GDH2; glutamate dehydrogenase 2	K00261 GLUD1_2; glutamate dehydrogenase (NAD(P)+) [EC:1.4.1.3]
2998,09100 Metabolism,09106 Metabolism of other amino acids,00471 D-Glutamine and D-glutamate metabolism,AT5G18170 GDH1; glutamate dehydrogenase 1	K00261 GLUD1_2; glutamate dehydrogenase (NAD(P)+) [EC:1.4.1.3]
2999,09100 Metabolism,09106 Metabolism of other amino acids,00471 D-Glutamine and D-glutamate metabolism,AT3G03910 GDH3; glutamate dehydrogenase 3	K00261 GLUD1_2; glutamate dehydrogenase (NAD(P)+) [EC:1.4.1.3]
3000,09100 Metabolism,09106 Metabolism of other amino acids,00480 Glutathione metabolism [PATH:ath00480],AT4G39640 GGT1; gamma-glutamyl transpeptidase 1	K18592 GGT1_5; gamma-glutamyltranspeptidase / glutathione hydrolase / leukotriene-C4 hydrolase [EC:2.3.2.2 3.4.19.13 3.4.19.14]
3001,09100 Metabolism,09106 Metabolism of other amino acids,00480 Glutathione metabolism [PATH:ath00480],AT4G39650 GGT2; gamma-glutamyl transpeptidase 2	K18592 GGT1_5; gamma-glutamyltranspeptidase / glutathione hydrolase / leukotriene-C4 hydrolase [EC:2.3.2.2 3.4.19.13 3.4.19.14]
3002,09100 Metabolism,09106 Metabolism of other amino acids,00480 Glutathione metabolism [PATH:ath00480],AT1G69820 GGT3; gamma-glutamyl transpeptidase 3	K18592 GGT1_5; gamma-glutamyltranspeptidase / glutathione hydrolase / leukotriene-C4 hydrolase [EC:2.3.2.2 3.4.19.13 3.4.19.14]
3003,09100 Metabolism,09106 Metabolism of other amino acids,00480 Glutathione metabolism [PATH:ath00480],AT4G29210 GGT4; gamma-glutamyl transpeptidase 4	K18592 GGT1_5; gamma-glutamyltranspeptidase / glutathione hydrolase / leukotriene-C4 hydrolase [EC:2.3.2.2 3.4.19.13 3.4.19.14]
3004,09100 Metabolism,09106 Metabolism of other amino acids,00480 Glutathione metabolism [PATH:ath00480],"AT5G26220 ChaC-like family protein	K22596 GGCT; gamma-glutamylcyclotransferase, plant [EC:4.3.2.9]"
3005,09100 Metabolism,09106 Metabolism of other amino acids,00480 Glutathione metabolism [PATH:ath00480],"AT4G31290 ChaC-like family protein	K22596 GGCT; gamma-glutamylcyclotransferase, plant [EC:4.3.2.9]"
3006,09100 Metabolism,09106 Metabolism of other amino acids,00480 Glutathione metabolism [PATH:ath00480],"AT1G44790 ChaC-like family protein	K22596 GGCT; gamma-glutamylcyclotransferase, plant [EC:4.3.2.9]"
3007,09100 Metabolism,09106 Metabolism of other amino acids,00480 Glutathione metabolism [PATH:ath00480],AT5G37830 OXP1; oxoprolinase 1	K01469 OPLAH; 5-oxoprolinase (ATP-hydrolysing) [EC:3.5.2.9]
3008,09100 Metabolism,09106 Metabolism of other amino acids,00480 Glutathione metabolism [PATH:ath00480],AT4G23100 GSH1; glutamate-cysteine ligase	K01919 gshA; glutamate--cysteine ligase [EC:6.3.2.2]
3009,09100 Metabolism,09106 Metabolism of other amino acids,00480 Glutathione metabolism [PATH:ath00480],AT5G27380 GSH2; glutathione synthetase 2	K21456 GSS; glutathione synthase [EC:6.3.2.3]
3010,09100 Metabolism,09106 Metabolism of other amino acids,00480 Glutathione metabolism [PATH:ath00480],AT4G30920 LAP2; Cytosol aminopeptidase family protein	K01255 CARP; leucyl aminopeptidase [EC:3.4.11.1]
3011,09100 Metabolism,09106 Metabolism of other amino acids,00480 Glutathione metabolism [PATH:ath00480],AT2G24200 LAP1; Cytosol aminopeptidase family protein	K01255 CARP; leucyl aminopeptidase [EC:3.4.11.1]
3012,09100 Metabolism,09106 Metabolism of other amino acids,00480 Glutathione metabolism [PATH:ath00480],AT4G30910 Cytosol aminopeptidase family protein	K01255 CARP; leucyl aminopeptidase [EC:3.4.11.1]
3013,09100 Metabolism,09106 Metabolism of other amino acids,00480 Glutathione metabolism [PATH:ath00480],AT1G63770 Peptidase M1 family protein	K01256 pepN; aminopeptidase N [EC:3.4.11.2]
3014,09100 Metabolism,09106 Metabolism of other amino acids,00480 Glutathione metabolism [PATH:ath00480],AT1G65820 microsomal glutathione s-transferase	K00799 GST; glutathione S-transferase [EC:2.5.1.18]
3015,09100 Metabolism,09106 Metabolism of other amino acids,00480 Glutathione metabolism [PATH:ath00480],AT2G30860 GSTF9; glutathione S-transferase PHI 9	K00799 GST; glutathione S-transferase [EC:2.5.1.18]
3016,09100 Metabolism,09106 Metabolism of other amino acids,00480 Glutathione metabolism [PATH:ath00480],AT3G03190 GSTF11; glutathione S-transferase F11	K00799 GST; glutathione S-transferase [EC:2.5.1.18]
3017,09100 Metabolism,09106 Metabolism of other amino acids,00480 Glutathione metabolism [PATH:ath00480],AT2G29440 GSTU6; glutathione S-transferase tau 6	K00799 GST; glutathione S-transferase [EC:2.5.1.18]
3018,09100 Metabolism,09106 Metabolism of other amino acids,00480 Glutathione metabolism [PATH:ath00480],AT2G29490 GSTU1; glutathione S-transferase TAU 1	K00799 GST; glutathione S-transferase [EC:2.5.1.18]
3019,09100 Metabolism,09106 Metabolism of other amino acids,00480 Glutathione metabolism [PATH:ath00480],AT2G29460 GSTU4; glutathione S-transferase tau 4	K00799 GST; glutathione S-transferase [EC:2.5.1.18]
3020,09100 Metabolism,09106 Metabolism of other amino acids,00480 Glutathione metabolism [PATH:ath00480],AT2G29480 GSTU2; glutathione S-transferase tau 2	K00799 GST; glutathione S-transferase [EC:2.5.1.18]
3021,09100 Metabolism,09106 Metabolism of other amino acids,00480 Glutathione metabolism [PATH:ath00480],AT2G47730 GSTF8; glutathione S-transferase phi 8	K00799 GST; glutathione S-transferase [EC:2.5.1.18]
3022,09100 Metabolism,09106 Metabolism of other amino acids,00480 Glutathione metabolism [PATH:ath00480],AT3G43800 GSTU27; glutathione S-transferase tau 27	K00799 GST; glutathione S-transferase [EC:2.5.1.18]
3023,09100 Metabolism,09106 Metabolism of other amino acids,00480 Glutathione metabolism [PATH:ath00480],AT2G02930 GSTF3; glutathione S-transferase F3	K00799 GST; glutathione S-transferase [EC:2.5.1.18]
3024,09100 Metabolism,09106 Metabolism of other amino acids,00480 Glutathione metabolism [PATH:ath00480],AT1G02940 GSTF5; glutathione S-transferase (class phi) 5	K00799 GST; glutathione S-transferase [EC:2.5.1.18]
3025,09100 Metabolism,09106 Metabolism of other amino acids,00480 Glutathione metabolism [PATH:ath00480],AT1G02950 GSTF4; glutathione S-transferase F4	K00799 GST; glutathione S-transferase [EC:2.5.1.18]
3026,09100 Metabolism,09106 Metabolism of other amino acids,00480 Glutathione metabolism [PATH:ath00480],AT1G02920 GSTF7; glutathione S-transferase 7	K00799 GST; glutathione S-transferase [EC:2.5.1.18]
3027,09100 Metabolism,09106 Metabolism of other amino acids,00480 Glutathione metabolism [PATH:ath00480],AT5G17220 GSTF12; glutathione S-transferase phi 12	K00799 GST; glutathione S-transferase [EC:2.5.1.18]
3028,09100 Metabolism,09106 Metabolism of other amino acids,00480 Glutathione metabolism [PATH:ath00480],AT4G02520 GSTF2; glutathione S-transferase PHI 2	K00799 GST; glutathione S-transferase [EC:2.5.1.18]
3029,09100 Metabolism,09106 Metabolism of other amino acids,00480 Glutathione metabolism [PATH:ath00480],AT1G10370 ERD9; Glutathione S-transferase family protein	K00799 GST; glutathione S-transferase [EC:2.5.1.18]
3030,09100 Metabolism,09106 Metabolism of other amino acids,00480 Glutathione metabolism [PATH:ath00480],AT1G10360 GSTU18; glutathione S-transferase TAU 18	K00799 GST; glutathione S-transferase [EC:2.5.1.18]
3031,09100 Metabolism,09106 Metabolism of other amino acids,00480 Glutathione metabolism [PATH:ath00480],AT1G02930 GSTF6; glutathione S-transferase 6	K00799 GST; glutathione S-transferase [EC:2.5.1.18]
3032,09100 Metabolism,09106 Metabolism of other amino acids,00480 Glutathione metabolism [PATH:ath00480],AT3G62760 ATGSTF13; Glutathione S-transferase family protein	K00799 GST; glutathione S-transferase [EC:2.5.1.18]
3033,09100 Metabolism,09106 Metabolism of other amino acids,00480 Glutathione metabolism [PATH:ath00480],AT1G49860 GSTF14; glutathione S-transferase (class phi) 14	K00799 GST; glutathione S-transferase [EC:2.5.1.18]
3034,09100 Metabolism,09106 Metabolism of other amino acids,00480 Glutathione metabolism [PATH:ath00480],AT1G59670 GSTU15; glutathione S-transferase TAU 15	K00799 GST; glutathione S-transferase [EC:2.5.1.18]
3035,09100 Metabolism,09106 Metabolism of other amino acids,00480 Glutathione metabolism [PATH:ath00480],AT2G29420 GSTU7; glutathione S-transferase tau 7	K00799 GST; glutathione S-transferase [EC:2.5.1.18]
3036,09100 Metabolism,09106 Metabolism of other amino acids,00480 Glutathione metabolism [PATH:ath00480],AT2G29470 GSTU3; glutathione S-transferase tau 3	K00799 GST; glutathione S-transferase [EC:2.5.1.18]
3037,09100 Metabolism,09106 Metabolism of other amino acids,00480 Glutathione metabolism [PATH:ath00480],AT1G59700 GSTU16; glutathione S-transferase TAU 16	K00799 GST; glutathione S-transferase [EC:2.5.1.18]
3038,09100 Metabolism,09106 Metabolism of other amino acids,00480 Glutathione metabolism [PATH:ath00480],AT2G29450 GSTU5; glutathione S-transferase tau 5	K00799 GST; glutathione S-transferase [EC:2.5.1.18]
3039,09100 Metabolism,09106 Metabolism of other amino acids,00480 Glutathione metabolism [PATH:ath00480],AT2G30870 GSTF10; glutathione S-transferase PHI 10	K00799 GST; glutathione S-transferase [EC:2.5.1.18]
3040,09100 Metabolism,09106 Metabolism of other amino acids,00480 Glutathione metabolism [PATH:ath00480],AT3G09270 GSTU8; glutathione S-transferase TAU 8	K00799 GST; glutathione S-transferase [EC:2.5.1.18]
3041,09100 Metabolism,09106 Metabolism of other amino acids,00480 Glutathione metabolism [PATH:ath00480],AT3G55040 GSTL2; glutathione transferase lambda 2	K00799 GST; glutathione S-transferase [EC:2.5.1.18]
3042,09100 Metabolism,09106 Metabolism of other amino acids,00480 Glutathione metabolism [PATH:ath00480],AT5G02780 GSTL1; glutathione transferase lambda 1	K00799 GST; glutathione S-transferase [EC:2.5.1.18]
3043,09100 Metabolism,09106 Metabolism of other amino acids,00480 Glutathione metabolism [PATH:ath00480],AT5G02790 GSTL3; Glutathione S-transferase family protein	K00799 GST; glutathione S-transferase [EC:2.5.1.18]
3044,09100 Metabolism,09106 Metabolism of other amino acids,00480 Glutathione metabolism [PATH:ath00480],AT5G41210 GSTT1; glutathione S-transferase THETA 1	K00799 GST; glutathione S-transferase [EC:2.5.1.18]
3045,09100 Metabolism,09106 Metabolism of other amino acids,00480 Glutathione metabolism [PATH:ath00480],AT1G17170 GSTU24; glutathione S-transferase TAU 24	K00799 GST; glutathione S-transferase [EC:2.5.1.18]
3046,09100 Metabolism,09106 Metabolism of other amino acids,00480 Glutathione metabolism [PATH:ath00480],AT1G17180 GSTU25; glutathione S-transferase TAU 25	K00799 GST; glutathione S-transferase [EC:2.5.1.18]
3047,09100 Metabolism,09106 Metabolism of other amino acids,00480 Glutathione metabolism [PATH:ath00480],AT1G17190 GSTU26; glutathione S-transferase tau 26	K00799 GST; glutathione S-transferase [EC:2.5.1.18]
3048,09100 Metabolism,09106 Metabolism of other amino acids,00480 Glutathione metabolism [PATH:ath00480],AT1G27130 GSTU13; glutathione S-transferase tau 13	K00799 GST; glutathione S-transferase [EC:2.5.1.18]
3049,09100 Metabolism,09106 Metabolism of other amino acids,00480 Glutathione metabolism [PATH:ath00480],AT1G27140 GSTU14; glutathione S-transferase tau 14	K00799 GST; glutathione S-transferase [EC:2.5.1.18]
3050,09100 Metabolism,09106 Metabolism of other amino acids,00480 Glutathione metabolism [PATH:ath00480],AT1G53680 GSTU28; glutathione S-transferase TAU 28	K00799 GST; glutathione S-transferase [EC:2.5.1.18]
3051,09100 Metabolism,09106 Metabolism of other amino acids,00480 Glutathione metabolism [PATH:ath00480],AT1G69920 GSTU12; glutathione S-transferase TAU 12	K00799 GST; glutathione S-transferase [EC:2.5.1.18]
3052,09100 Metabolism,09106 Metabolism of other amino acids,00480 Glutathione metabolism [PATH:ath00480],AT1G69930 GSTU11; glutathione S-transferase TAU 11	K00799 GST; glutathione S-transferase [EC:2.5.1.18]
3053,09100 Metabolism,09106 Metabolism of other amino acids,00480 Glutathione metabolism [PATH:ath00480],AT1G74590 GSTU10; glutathione S-transferase TAU 10	K00799 GST; glutathione S-transferase [EC:2.5.1.18]
3054,09100 Metabolism,09106 Metabolism of other amino acids,00480 Glutathione metabolism [PATH:ath00480],AT1G78320 GSTU23; glutathione S-transferase TAU 23	K00799 GST; glutathione S-transferase [EC:2.5.1.18]
3055,09100 Metabolism,09106 Metabolism of other amino acids,00480 Glutathione metabolism [PATH:ath00480],AT1G78340 GSTU22; glutathione S-transferase TAU 22	K00799 GST; glutathione S-transferase [EC:2.5.1.18]
3056,09100 Metabolism,09106 Metabolism of other amino acids,00480 Glutathione metabolism [PATH:ath00480],AT1G78360 GSTU21; glutathione S-transferase TAU 21	K00799 GST; glutathione S-transferase [EC:2.5.1.18]
3057,09100 Metabolism,09106 Metabolism of other amino acids,00480 Glutathione metabolism [PATH:ath00480],AT1G78370 GSTU20; glutathione S-transferase TAU 20	K00799 GST; glutathione S-transferase [EC:2.5.1.18]
3058,09100 Metabolism,09106 Metabolism of other amino acids,00480 Glutathione metabolism [PATH:ath00480],AT1G78380 GSTU19; glutathione S-transferase TAU 19	K00799 GST; glutathione S-transferase [EC:2.5.1.18]
3059,09100 Metabolism,09106 Metabolism of other amino acids,00480 Glutathione metabolism [PATH:ath00480],AT5G62480 GSTU9; glutathione S-transferase tau 9	K00799 GST; glutathione S-transferase [EC:2.5.1.18]
3060,09100 Metabolism,09106 Metabolism of other amino acids,00480 Glutathione metabolism [PATH:ath00480],AT5G41240 GSTT2; glutathione S-transferase THETA 2	K00799 GST; glutathione S-transferase [EC:2.5.1.18]
3061,09100 Metabolism,09106 Metabolism of other amino acids,00480 Glutathione metabolism [PATH:ath00480],AT5G41220 GSTT3; glutathione S-transferase THETA 3	K00799 GST; glutathione S-transferase [EC:2.5.1.18]
3062,09100 Metabolism,09106 Metabolism of other amino acids,00480 Glutathione metabolism [PATH:ath00480],AT1G19550 Glutathione S-transferase family protein	K21888 DHAR; glutathione dehydrogenase/transferase [EC:1.8.5.1 2.5.1.18]
3063,09100 Metabolism,09106 Metabolism of other amino acids,00480 Glutathione metabolism [PATH:ath00480],AT1G19570 DHAR1; dehydroascorbate reductase	K21888 DHAR; glutathione dehydrogenase/transferase [EC:1.8.5.1 2.5.1.18]
3064,09100 Metabolism,09106 Metabolism of other amino acids,00480 Glutathione metabolism [PATH:ath00480],AT1G75270 DHAR2; dehydroascorbate reductase 2	K21888 DHAR; glutathione dehydrogenase/transferase [EC:1.8.5.1 2.5.1.18]
3065,09100 Metabolism,09106 Metabolism of other amino acids,00480 Glutathione metabolism [PATH:ath00480],AT5G16710 DHAR3; dehydroascorbate reductase 1	K21888 DHAR; glutathione dehydrogenase/transferase [EC:1.8.5.1 2.5.1.18]
3066,09100 Metabolism,09106 Metabolism of other amino acids,00480 Glutathione metabolism [PATH:ath00480],AT3G54660 GR; glutathione reductase	K00383 GSR; glutathione reductase (NADPH) [EC:1.8.1.7]
3067,09100 Metabolism,09106 Metabolism of other amino acids,00480 Glutathione metabolism [PATH:ath00480],AT3G24170 GR1; glutathione-disulfide reductase	K00383 GSR; glutathione reductase (NADPH) [EC:1.8.1.7]
3068,09100 Metabolism,09106 Metabolism of other amino acids,00480 Glutathione metabolism [PATH:ath00480],AT1G65930 cICDH; cytosolic NADP+-dependent isocitrate dehydrogenase	K00031 IDH1; isocitrate dehydrogenase [EC:1.1.1.42]
3069,09100 Metabolism,09106 Metabolism of other amino acids,00480 Glutathione metabolism [PATH:ath00480],AT1G54340 ICDH; isocitrate dehydrogenase	K00031 IDH1; isocitrate dehydrogenase [EC:1.1.1.42]
3070,09100 Metabolism,09106 Metabolism of other amino acids,00480 Glutathione metabolism [PATH:ath00480],AT5G14590 Isocitrate/isopropylmalate dehydrogenase family protein	K00031 IDH1; isocitrate dehydrogenase [EC:1.1.1.42]
3071,09100 Metabolism,09106 Metabolism of other amino acids,00480 Glutathione metabolism [PATH:ath00480],AT1G64190 6-phosphogluconate dehydrogenase family protein	K00033 PGD; 6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]
3072,09100 Metabolism,09106 Metabolism of other amino acids,00480 Glutathione metabolism [PATH:ath00480],AT5G41670 6-phosphogluconate dehydrogenase family protein	K00033 PGD; 6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]
3073,09100 Metabolism,09106 Metabolism of other amino acids,00480 Glutathione metabolism [PATH:ath00480],AT3G02360 6-phosphogluconate dehydrogenase family protein	K00033 PGD; 6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]
3074,09100 Metabolism,09106 Metabolism of other amino acids,00480 Glutathione metabolism [PATH:ath00480],AT3G27300 G6PD5; glucose-6-phosphate dehydrogenase 5	K00036 G6PD; glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]
3075,09100 Metabolism,09106 Metabolism of other amino acids,00480 Glutathione metabolism [PATH:ath00480],AT5G13110 G6PD2; glucose-6-phosphate dehydrogenase 2	K00036 G6PD; glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]
3076,09100 Metabolism,09106 Metabolism of other amino acids,00480 Glutathione metabolism [PATH:ath00480],AT1G09420 G6PD4; glucose-6-phosphate dehydrogenase 4	K00036 G6PD; glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]
3077,09100 Metabolism,09106 Metabolism of other amino acids,00480 Glutathione metabolism [PATH:ath00480],AT5G35790 G6PD1; glucose-6-phosphate dehydrogenase 1	K00036 G6PD; glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]
3078,09100 Metabolism,09106 Metabolism of other amino acids,00480 Glutathione metabolism [PATH:ath00480],AT1G24280 G6PD3; glucose-6-phosphate dehydrogenase 3	K00036 G6PD; glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]
3079,09100 Metabolism,09106 Metabolism of other amino acids,00480 Glutathione metabolism [PATH:ath00480],AT5G40760 G6PD6; glucose-6-phosphate dehydrogenase 6	K00036 G6PD; glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]
